,Unnamed: 0,Ticker,Category,Api key,Entry reasons,Exit reasons,Description,Conclusion,Entry time,Leverage,MFE,MAE,Avg. entry price,Exit time,Avg. exit price,Duration,Side,Percent,Net profit (%),Funding,PNL,Cumulative PNL,QTY,Peak qty,Volume,Commission,Month
10,10,STXUSDT,,Api-hs1,,,,,2024-07-10 17:07:04,0.00958502,0.4382,0.1096,1.8256,2024-07-10 17:08:00,1.821,0 days 00:00:56,SHORT,0.25,0.0,0.0,3.700000000000001,46.1,1100.0,1100.0,4011.26,0.01404699,2024-07
11,11,RUNEUSDT,,Api-hs1,,,,,2024-07-10 18:28:05,0.01007071,0.0,0.0,5.275,2024-07-10 18:29:12,5.262,0 days 00:01:07,SHORT,0.25,0.0,0.0,3.700000000000001,49.8,400.0,400.0,4214.8,0.0147596,2024-07
12,12,STXUSDT,,Api-hs1,,,,,2024-07-10 20:51:04,0.01950292,0.0707,-3.7955,1.8574,2024-07-10 20:52:19,1.8528,0 days 00:01:15,SHORT,0.25,0.0,0.0,7.9,57.7,2200.0,2200.0,8162.44,0.02239357,2024-07
13,13,STXUSDT,,Api-hs1,,,,,2024-07-10 20:53:05,0.0097437,0.0,0.0,1.856,2024-07-10 20:53:23,1.8514,0 days 00:00:18,SHORT,0.25,0.0,0.0,3.600000000000003,61.3,1100.0,1100.0,4078.14,0.01428108,2024-07
14,14,STXUSDT,,Api-hs1,,,,,2024-07-10 20:55:05,0.00975509,0.7157,-1.1732,1.8582,2024-07-10 21:11:00,1.8536,0 days 00:15:55,SHORT,0.25,0.0,0.0,3.600000000000003,64.9,1100.0,1100.0,4082.98,0.014298,2024-07
15,15,SPELLUSDT,,Api-hs1,,,,,2024-07-10 23:00:05,0.04999284,0.0,0.0,0.000591,2024-07-10 23:00:26,0.0005889,0 days 00:00:21,SHORT,0.36,0.01,0.0,29.9,94.8,17724500.0,17724500.0,20913.13755,0.0732518,2024-07
16,16,ADAUSDT,,Api-hs1,,,,,2024-07-11 00:42:04,0.00990997,0.5879,-481.0,0.5613,2024-07-11 00:46:11,0.5599,0 days 00:04:07,SHORT,0.25,0.0,0.0,3.699999999999992,98.5,3700.0,3700.0,4148.4400000000005,0.01452731,2024-07
17,17,SPELLUSDT,,Api-hs1,,,,,2024-07-11 01:00:06,0.07508059,0.0479,-2.0817,0.00069291,2024-07-11 01:02:25,0.0006905,0 days 00:02:19,SHORT,0.35,0.02,0.0,45.3,143.8,22707500.0,22707500.0,31413.881687,0.09431225,2024-07
18,18,BCHUSDT,,Api-hs1,,,,,2024-07-11 03:32:03,0.00996831,0.0,0.0,254.82,2024-07-11 03:32:11,254.18,0 days 00:00:08,SHORT,0.25,0.0,0.0,3.800000000000008,147.60000000000002,8200.0,8200.0,4173.8,0.01461617,2024-07
19,19,BCHUSDT,,Api-hs1,,,,,2024-07-11 03:38:04,0.03491908,1.4882,-5.1161,271.09885185,2024-07-11 03:43:57,270.42,0 days 00:05:53,SHORT,0.25,0.01,0.0,14.799999999999986,162.4,27.0,27.0,14621.009,0.03550047,2024-07
20,20,LTCUSDT,,Api-hs1,,,,,2024-07-11 03:48:04,0.01000617,0.2618,-0.5649,72.58,2024-07-11 04:07:53,72.4,0 days 00:19:49,SHORT,0.25,0.0,0.0,3.70000000000001,166.10000000000002,28900.0,28900.0,4189.922,0.01467253,2024-07
21,21,OPUSDT,,Api-hs1,,,,,2024-07-11 03:57:03,0.00994818,0.2713,-0.8123,3.53458814,2024-07-11 04:17:37,3.5258,0 days 00:20:34,SHORT,0.25,0.0,0.0,3.70000000000001,169.80000000000004,590.0,590.0,4165.629003,0.01458747,2024-07
22,22,SPELLUSDT,,Api-hs1,,,,,2024-07-11 04:00:12,0.04997152,0.7882,-0.6518,0.0006597,2024-07-11 04:05:08,0.0006574,0 days 00:04:56,SHORT,0.35,0.01,0.0,29.19999999999998,199.00000000000003,15879000.0,15879000.0,20914.2309,0.07325457,2024-07
